Name,Lat,Long,Category
HANOVER / LANTANA HILLS,30.24912,-97.862418,ElecCarCharging
PIE AE / PUB ACC NRIDGE2,30.40429,-97.705587,ElecCarCharging
PIE AE / PUB CAMP MABRY2,30.31659,-97.757581,ElecCarCharging
PARKING LEVEL 1 / GATEWAY 1 MAIN,30.3987,-97.724056,ElecCarCharging
PARK&ZOOM / VALET #4,30.21145,-97.662103,ElecCarCharging
PARK&ZOOM / VALET #3,30.211718,-97.662318,ElecCarCharging
FROST / 3,30.267548,-97.742316,ElecCarCharging
ENDEAVOR REG / ENDEAVOR STAT1,30.259477,-97.720197,ElecCarCharging
PIE AE / PALMER STATION5,30.259705,-97.752496,ElecCarCharging
COA FLEET - PIE / BARTON #2,30.256936,-97.749284,ElecCarCharging
ENDEAVOR REG / BLUE GARAGE #6,30.403736,-97.722504,ElecCarCharging
ENDEAVOR REG / LEVEL 3 - #1,30.317673,-97.75496,ElecCarCharging
BRANDYWINE AUST / FOUR POINTS 2,30.405365,-97.848098,ElecCarCharging
PIE AE / ZILKERPARKPOLO2,30.266457,-97.774745,ElecCarCharging
ENDEAVOR REG / PALM WAY #3,30.403626,-97.719878,ElecCarCharging
PARKING LEVEL 1 / KENZIE 2,30.399504,-97.723519,ElecCarCharging
ENDEAVOR REG / STATION2,30.479702,-97.793993,ElecCarCharging
CIELO CENTER / STATION 2,30.280288,-97.823472,ElecCarCharging
HPI 3700 / 3900 SC #2,30.337882,-97.807765,ElecCarCharging
COA / NEWCENTRALLIB4,30.266132,-97.751803,ElecCarCharging
BUILDING 7 EVCS / STATION1,30.318426,-97.71069,ElecCarCharging
PIE AE / RUTHERFORDCAMP3,30.337065,-97.680709,ElecCarCharging
PIE AE / TLC STATI0N 2,30.258333,-97.75191,ElecCarCharging
DSMCUT / EVSE06 FLOOR L2,30.275229,-97.734575,ElecCarCharging
NATIONAL INSTRU / 11&12;,30.408722,-97.725271,ElecCarCharging
GOODHEALTH / STATION 1,30.206445,-97.693581,ElecCarCharging
PIE AE / ERCOT 1,30.2165,-97.691795,ElecCarCharging
LCPM / GARAGE 1,30.306188,-97.743433,ElecCarCharging
COA FLEET - PIE / RUTHERFORD #4,30.337741,-97.680766,ElecCarCharging
REPUBLICSQUARE / GABLES REPUB1,30.267609,-97.746544,ElecCarCharging
PIE AE / HOWSONBRCHLIBR2,30.298396,-97.767903,ElecCarCharging
NATIONAL INSTRU / 19&20;,30.40854,-97.72767,ElecCarCharging
PIE AE / ZILKERPARKPOLO1,30.266471,-97.774765,ElecCarCharging
ENDEAVOR REG / LEVEL 3 - #3,30.317747,-97.755004,ElecCarCharging
PRESIDIUM / LAUREL,30.436594,-97.777617,ElecCarCharging
PIE AE / CONVENTION CTR1,30.263755,-97.743423,ElecCarCharging
AISD PAC / AISD PAC #2,30.30538,-97.702537,ElecCarCharging
DSMCUT / EVSE02 FLOOR L6,30.275264,-97.734579,ElecCarCharging
PIE AE / PUB UTANTONIO 1,30.288683,-97.742575,ElecCarCharging
COA FLEET - PIE / ED BLUE #3,30.277002,-97.667036,ElecCarCharging
PIE AE / PUB-HEBCONGRESS,30.238689,-97.753858,ElecCarCharging
AUSTIN / AUSTIN 200 3,30.264505,-97.746067,ElecCarCharging
DSMCUT / EVSE08 G LEVEL,30.275195,-97.734584,ElecCarCharging
HPE AUSTIN / TXN04 A,30.445476,-97.690074,ElecCarCharging
ENDEAVOR REG / LEVEL 2 - #3,30.317724,-97.755038,ElecCarCharging
PIE AE / RIO REMOVED SCA,30.277252,-97.747261,ElecCarCharging
PIE PRESERVE / MAIN GATEWAY 1,30.246834,-97.846018,ElecCarCharging
COA / NEWCENTRALLIB1,30.266102,-97.751667,ElecCarCharging
DEVLOPER / TRAMMELLCROW5,30.265885,-97.748891,ElecCarCharging
NATIONAL INSTRU / 1&2,30.408792,-97.725312,ElecCarCharging
